Date,Price,Year,Month,Month Name,Year-Month,% Change,Moving Average
1960-01-01,35.27,1960,1,January,1960-01,0.0,
1960-02-01,35.27,1960,2,February,1960-02,0.0,
1960-03-01,35.27,1960,3,March,1960-03,0.0,35.27
1960-04-01,35.27,1960,4,April,1960-04,0.0,35.27
1960-05-01,35.27,1960,5,May,1960-05,0.0,35.27
1960-06-01,35.27,1960,6,June,1960-06,0.0,35.27
1960-07-01,35.27,1960,7,July,1960-07,0.0,35.27
1960-08-01,35.27,1960,8,August,1960-08,0.0,35.27
1960-09-01,35.27,1960,9,September,1960-09,0.0,35.27
1960-10-01,35.27,1960,10,October,1960-10,0.0,35.27
1960-11-01,35.27,1960,11,November,1960-11,0.0,35.27
1960-12-01,35.27,1960,12,December,1960-12,0.0,35.27
1961-01-01,35.25,1961,1,January,1961-01,-0.06,35.26
1961-02-01,35.25,1961,2,February,1961-02,0.0,35.26
1961-03-01,35.25,1961,3,March,1961-03,0.0,35.25
1961-04-01,35.25,1961,4,April,1961-04,0.0,35.25
1961-05-01,35.25,1961,5,May,1961-05,0.0,35.25
1961-06-01,35.25,1961,6,June,1961-06,0.0,35.25
1961-07-01,35.25,1961,7,July,1961-07,0.0,35.25
1961-08-01,35.25,1961,8,August,1961-08,0.0,35.25
1961-09-01,35.25,1961,9,September,1961-09,0.0,35.25
1961-10-01,35.25,1961,10,October,1961-10,0.0,35.25
1961-11-01,35.25,1961,11,November,1961-11,0.0,35.25
1961-12-01,35.25,1961,12,December,1961-12,0.0,35.25
1962-01-01,35.23,1962,1,January,1962-01,-0.06,35.24
1962-02-01,35.23,1962,2,February,1962-02,0.0,35.24
1962-03-01,35.23,1962,3,March,1962-03,0.0,35.23
1962-04-01,35.23,1962,4,April,1962-04,0.0,35.23
1962-05-01,35.23,1962,5,May,1962-05,0.0,35.23
1962-06-01,35.23,1962,6,June,1962-06,0.0,35.23
1962-07-01,35.23,1962,7,July,1962-07,0.0,35.23
1962-08-01,35.23,1962,8,August,1962-08,0.0,35.23
1962-09-01,35.23,1962,9,September,1962-09,0.0,35.23
1962-10-01,35.23,1962,10,October,1962-10,0.0,35.23
1962-11-01,35.23,1962,11,November,1962-11,0.0,35.23
1962-12-01,35.23,1962,12,December,1962-12,0.0,35.23
1963-01-01,35.09,1963,1,January,1963-01,-0.4,35.18
1963-02-01,35.09,1963,2,February,1963-02,0.0,35.14
1963-03-01,35.09,1963,3,March,1963-03,0.0,35.09
1963-04-01,35.09,1963,4,April,1963-04,0.0,35.09
1963-05-01,35.09,1963,5,May,1963-05,0.0,35.09
1963-06-01,35.09,1963,6,June,1963-06,0.0,35.09
1963-07-01,35.09,1963,7,July,1963-07,0.0,35.09
